candidate_id,rank,score,reasoning
CAND_0044855,20,79.96,"Standout applicant driven by 6.6 years of experience as a Senior Data Scientist, strong technical match (Object Detection, Learning to Rank, Hugging Face Transformers) in Coimbatore, Tamil Nadu. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0003977,21,79.77,"Standout applicant driven by 4.6 years of experience as a Recommendation Systems Engineer, strong technical match (Learning to Rank, NLP, Node.js) in Delhi, Delhi. Ranked highly due to outstanding Resume Relevance, Market Demand, and Technical Credibility."
CAND_0037944,22,79.63,"Standout applicant driven by 4.9 years of experience as a Senior Data Scientist, strong technical match (Next.js, Feature Engineering, Vector Search) in Jaipur, Rajasthan. Ranked highly due to outstanding Technical Credibility, Title Relevance, and GitHub Activity."
CAND_0096142,23,79.6,"Standout applicant driven by 5.0 years of experience as a Applied ML Engineer, strong technical match (Kubeflow, LoRA, Weaviate) in Hyderabad, Telangana. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Technical Credibility."
CAND_0084819,24,79.49,"Standout applicant driven by 4.5 years of experience as a Search Engineer, strong technical match (Semantic Search, BM25, MLOps) in Indore, Madhya Pradesh. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Technical Credibility."
CAND_0064904,25,79.47,"Standout applicant driven by 4.9 years of experience as a AI Engineer, strong technical match (Embeddings, Hugging Face Transformers, Elasticsearch) in Hyderabad, Telangana. Ranked highly due to outstanding Title Relevance, Resume Relevance, and Technical Credibility."
CAND_0006567,26,79.31,"Standout applicant driven by 7.9 years of experience as a Senior AI Engineer, strong technical match (Speech Recognition, scikit-learn, Search Backend) in Noida, Uttar Pradesh. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0028793,27,79.25,"Standout applicant driven by 7.2 years of experience as a Search Engineer, strong technical match (SAP, Kubeflow, Embeddings) in Trivandrum, Kerala. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Technical Credibility."
CAND_0093331,28,79.25,"Standout applicant driven by 16.1 years of experience as a NLP Engineer, strong technical match (PyTorch, Prompt Engineering, Accounting) in Kochi, Kerala. Ranked highly due to outstanding Resume Relevance, Technical Credibility, and Market Demand."
CAND_0010257,29,79.19,"Standout applicant driven by 6.5 years of experience as a Senior Data Scientist, strong technical match (Milvus, TensorFlow, MLflow) in Noida, Uttar Pradesh. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0088025,30,79.15,"Standout applicant driven by 8.6 years of experience as a Staff Machine Learning Engineer, strong technical match (Pinecone, QLoRA, LLMs) in Jaipur, Rajasthan. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0030953,31,79.03,"Standout applicant driven by 7.8 years of experience as a Search Engineer, strong technical match (TTS, MLOps, Learning to Rank) in Chennai, Tamil Nadu. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0030348,32,78.92,"Standout applicant driven by 4.5 years of experience as a Machine Learning Engineer, strong technical match (LlamaIndex, Deep Learning, TTS) in Noida, Uttar Pradesh. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0052682,33,78.9,"Standout applicant driven by 6.6 years of experience as a NLP Engineer, strong technical match (Statistical Modeling, QLoRA, Semantic Search) in Vizag, Andhra Pradesh. Ranked highly due to outstanding Resume Relevance, Technical Credibility, and Market Demand."
CAND_0044222,34,78.86,"Standout applicant driven by 7.7 years of experience as a AI Engineer, strong technical match (Vector Search, LlamaIndex, OpenSearch) in Vizag, Andhra Pradesh. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0077296,35,78.37,"Standout applicant driven by 5.8 years of experience as a Computer Vision Engineer, strong technical match (Go, Agile, Forecasting) in Vizag, Andhra Pradesh. Ranked highly due to outstanding Market Demand, Technical Credibility, and GitHub Activity."
CAND_0083879,36,78.27,"Standout applicant driven by 7.1 years of experience as a Machine Learning Engineer, strong technical match (MLOps, Fine-tuning LLMs, Milvus) in Noida, Uttar Pradesh. Ranked highly due to outstanding Title Relevance, Market Demand, and Resume Relevance."
CAND_0018499,37,78.26,"Standout applicant driven by 7.2 years of experience as a Senior Machine Learning Engineer, strong technical match (Deep Learning, Weaviate, Recommendation Systems) in Noida, Uttar Pradesh. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Technical Credibility."
CAND_0093547,38,78.25,"Standout applicant driven by 2.9 years of experience as a Senior Machine Learning Engineer, strong technical match (LLMs, RAG, Python) in Coimbatore, Tamil Nadu. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Technical Credibility."
CAND_0064326,39,77.85,"Standout applicant driven by 7.6 years of experience as a Search Engineer, strong technical match (scikit-learn, PyTorch, Milvus) in Gurgaon, Haryana. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0083852,40,77.84,"Standout applicant driven by 6.0 years of experience as a Data Scientist, strong technical match (Qdrant, Kubeflow, QLoRA) in Ahmedabad, Gujarat. Ranked highly due to outstanding Title Relevance, Technical Credibility, and Market Demand."
CAND_0012888,41,77.67,"Standout applicant driven by 6.4 years of experience as a Junior ML Engineer, strong technical match (Kubernetes, Machine Learning, Redux) in Delhi, Delhi. Ranked highly due to outstanding Title Relevance, Market Demand, and Technical Credibility."
CAND_0024147,42,77.64,"Standout applicant driven by 5.9 years of experience as a ML Engineer, strong technical match (ASR, Qdrant, Kubeflow) in Jaipur, Rajasthan. Ranked highly due to outstanding Title Relevance, Technical Credibility, and Market Demand."
CAND_0036520,43,77.63,"Standout applicant driven by 4.2 years of experience as a Data Scientist, strong technical match (MLflow, Embeddings, GANs) in Indore, Madhya Pradesh. Ranked highly due to outstanding Title Relevance, Market Demand, and GitHub Activity."
CAND_0043860,44,77.62,"Standout applicant driven by 6.1 years of experience as a Junior ML Engineer, strong technical match (pgvector, Feature Engineering, Object Detection) in Bhubaneswar, Odisha. Ranked highly due to outstanding Title Relevance, Market Demand, and Recruitability."
CAND_0030031,45,77.6,"Standout applicant driven by 5.7 years of experience as a AI Engineer, strong technical match (Information Retrieval, PyTorch, Object Detection) in Trivandrum, Kerala. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Skill Coverage."
CAND_0052195,46,77.6,"Standout applicant driven by 6.3 years of experience as a Computer Vision Engineer, strong technical match (MLflow, Sentence Transformers, Webpack) in Kolkata, West Bengal. Ranked highly due to outstanding Market Demand, Technical Credibility, and GitHub Activity."
CAND_0055992,47,77.54,"Standout applicant driven by 16.9 years of experience as a AI Engineer, strong technical match (Information Retrieval, MLflow, FAISS) in Sydney. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0068932,48,77.39,"Standout applicant driven by 5.2 years of experience as a ML Engineer, strong technical match (Marketing, JavaScript, Agile) in Noida, Uttar Pradesh. Ranked highly due to outstanding Title Relevance, Market Demand, and GitHub Activity."
CAND_0008425,49,77.29,"Standout applicant driven by 7.8 years of experience as a Senior NLP Engineer, strong technical match (Learning to Rank, Qdrant, Weights & Biases) in Kolkata, West Bengal. Ranked highly due to outstanding Resume Relevance, Skill Coverage, and Skill Match."
CAND_0087494,50,77.29,"Standout applicant driven by 3.4 years of experience as a ML Engineer, strong technical match (NLP, React, PyTorch) in Jaipur, Rajasthan. Ranked highly due to outstanding Title Relevance, Technical Credibility, and Market Demand."
CAND_0002120,51,77.28,"Standout applicant driven by 6.5 years of experience as a ML Engineer, strong technical match (RAG, ETL, Hugging Face Transformers) in Berlin. Ranked highly due to outstanding Title Relevance, Market Demand, and Resume Relevance."
CAND_0081846,52,77.21,"Standout applicant driven by 6.7 years of experience as a Lead AI Engineer, strong technical match (Data Science, Information Retrieval, LlamaIndex) in Jaipur, Rajasthan. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Skill Coverage."
CAND_0036437,53,76.97,"Standout applicant driven by 4.8 years of experience as a Search Engineer, strong technical match (Go, Kubeflow, OpenSearch) in Kolkata, West Bengal. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0008978,54,76.89,"Standout applicant driven by 6.7 years of experience as a Junior ML Engineer, strong technical match (Sales, Machine Learning, Embeddings) in Pune, Maharashtra. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0025640,55,76.82,"Standout applicant driven by 5.6 years of experience as a AI Research Engineer, strong technical match (Semantic Search, PEFT, Information Retrieval) in Jaipur, Rajasthan. Ranked highly due to outstanding Title Relevance, Market Demand, and Resume Relevance."
CAND_0020877,56,76.79,"Standout applicant driven by 5.1 years of experience as a Applied ML Engineer, strong technical match (QLoRA, Kubeflow, YOLO) in Gurgaon, Haryana. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Technical Credibility."
CAND_0011687,57,76.62,"Standout applicant driven by 7.8 years of experience as a Senior NLP Engineer, strong technical match (TensorFlow, OpenSearch, FAISS) in Indore, Madhya Pradesh. Ranked highly due to outstanding Resume Relevance, Technical Credibility, and GitHub Activity."
CAND_0014440,58,76.16,"Standout applicant driven by 6.4 years of experience as a Recommendation Systems Engineer, strong technical match (Elasticsearch, Diffusion Models, Milvus) in Chennai, Tamil Nadu. Ranked highly due to outstanding Resume Relevance, Technical Credibility, and GitHub Activity."
CAND_0076284,59,76.0,"Standout applicant driven by 3.9 years of experience as a Data Engineer, strong technical match (Image Classification, Spark, TTS) in Hyderabad, Telangana. Ranked highly due to outstanding Market Demand, Technical Credibility, and Consulting Background."
CAND_0036863,60,75.85,"Standout applicant driven by 4.3 years of experience as a Senior Data Scientist, strong technical match (OpenCV, Qdrant, TTS) in Chennai, Tamil Nadu. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0052328,61,75.84,"Standout applicant driven by 6.5 years of experience as a Recommendation Systems Engineer, strong technical match (Object Detection, LoRA, OpenSearch) in Pune, Maharashtra. Ranked highly due to outstanding Technical Credibility, Market Demand, and GitHub Activity."
CAND_0081686,62,75.22,"Standout applicant driven by 6.0 years of experience as a Search Engineer, strong technical match (Machine Learning, Kubeflow, Embeddings) in Austin. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0013536,63,75.17,"Standout applicant driven by 14.1 years of experience as a Applied ML Engineer, strong technical match (PyTorch, Prompt Engineering, LLMs) in Trivandrum, Kerala. Ranked highly due to outstanding Title Relevance, Market Demand, and Technical Credibility."
CAND_0041568,64,75.07,"Standout applicant driven by 5.2 years of experience as a Search Engineer, strong technical match (PEFT, Weaviate, Angular) in Sydney. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0035879,65,75.01,"Standout applicant driven by 4.5 years of experience as a AI Research Engineer, strong technical match (CI/CD, Vue.js, Statistical Modeling) in Noida, Uttar Pradesh. Ranked highly due to outstanding Title Relevance, GitHub Activity, and Market Demand."
CAND_0091890,66,74.94,"Standout applicant driven by 4.7 years of experience as a AI Research Engineer, strong technical match (Statistical Modeling, scikit-learn, Weights & Biases) in Hyderabad, Telangana. Ranked highly due to outstanding Title Relevance, Technical Credibility, and GitHub Activity."
CAND_0064270,67,74.91,"Standout applicant driven by 4.2 years of experience as a Applied ML Engineer, strong technical match (LlamaIndex, BentoML, PyTorch) in Pune, Maharashtra. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0016163,68,74.75,"Standout applicant driven by 6.7 years of experience as a Applied ML Engineer, strong technical match (Hugging Face Transformers, Computer Vision, gRPC) in Gurgaon, Haryana. Ranked highly due to outstanding Title Relevance, Resume Relevance, and GitHub Activity."
CAND_0076904,69,74.69,"Standout applicant driven by 4.2 years of experience as a Senior Data Scientist, strong technical match (CNN, PEFT, Recommendation Systems) in London. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0094023,70,74.6,"Standout applicant driven by 3.5 years of experience as a Data Scientist, strong technical match (Django, Feature Engineering, Kubeflow) in Vizag, Andhra Pradesh. Ranked highly due to outstanding Title Relevance, Technical Credibility, and GitHub Activity."
CAND_0086151,71,74.49,"Standout applicant driven by 7.7 years of experience as a Recommendation Systems Engineer, strong technical match (Figma, LangChain, BentoML) in Vizag, Andhra Pradesh. Ranked highly due to outstanding Resume Relevance, Technical Credibility, and Market Demand."
CAND_0014715,72,74.43,"Standout applicant driven by 4.2 years of experience as a AI Specialist, strong technical match (Python, BM25, Sales) in Indore, Madhya Pradesh. Ranked highly due to outstanding Market Demand, Technical Credibility, and Resume Relevance."
CAND_0064130,73,74.0,"Standout applicant driven by 6.7 years of experience as a AI Research Engineer, strong technical match (LoRA, Object Detection, Weights & Biases) in Chennai, Tamil Nadu. Ranked highly due to outstanding Title Relevance, Market Demand, and Resume Relevance."
CAND_0061244,74,73.84,"Standout applicant driven by 6.2 years of experience as a Computer Vision Engineer, strong technical match (Machine Learning, Qdrant, CNN) in Vizag, Andhra Pradesh. Ranked highly due to outstanding Technical Credibility, GitHub Activity, and Market Demand."
CAND_0012957,75,73.81,"Standout applicant driven by 4.9 years of experience as a Search Engineer, strong technical match (RAG, PEFT, LangChain) in Chennai, Tamil Nadu. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Technical Credibility."
CAND_0072232,76,73.75,"Standout applicant driven by 4.0 years of experience as a ML Engineer, strong technical match (TensorFlow, Reinforcement Learning, MLflow) in Kolkata, West Bengal. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0039521,77,73.34,"Standout applicant driven by 3.0 years of experience as a Search Engineer, strong technical match (Accounting, Time Series, Hugging Face Transformers) in Coimbatore, Tamil Nadu. Ranked highly due to outstanding Title Relevance, Market Demand, and Resume Relevance."
CAND_0000031,78,73.2,"Standout applicant driven by 6.0 years of experience as a Recommendation Systems Engineer, strong technical match (Go, MLflow, FAISS) in Hyderabad, Telangana. Ranked highly due to outstanding Resume Relevance, Market Demand, and Technical Credibility."
CAND_0003557,79,73.13,"Standout applicant driven by 6.8 years of experience as a ML Engineer, strong technical match (Time Series, BM25, SQL) in Chandigarh, Chandigarh. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0091909,80,73.13,"Standout applicant driven by 6.9 years of experience as a Machine Learning Engineer, strong technical match (LLMs, Image Classification, Pinecone) in Bangalore, Karnataka. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Technical Credibility."
CAND_0074225,81,73.05,"Standout applicant driven by 4.3 years of experience as a Machine Learning Engineer, strong technical match (Apache Beam, Statistical Modeling, Recommendation Systems) in Vizag, Andhra Pradesh. Ranked highly due to outstanding Title Relevance, Market Demand, and Technical Credibility."
CAND_0018549,82,72.83,"Standout applicant driven by 6.8 years of experience as a Recommendation Systems Engineer, strong technical match (Computer Vision, Weaviate, Kubernetes) in Coimbatore, Tamil Nadu. Ranked highly due to outstanding Resume Relevance, Technical Credibility, and Market Demand."
CAND_0007412,83,72.68,"Standout applicant driven by 7.4 years of experience as a Applied ML Engineer, strong technical match (Node.js, scikit-learn, Data Science) in Noida, Uttar Pradesh. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0047721,84,72.56,"Standout applicant driven by 7.0 years of experience as a Senior Data Scientist, strong technical match (Learning to Rank, MLOps, Milvus) in Coimbatore, Tamil Nadu. Ranked highly due to outstanding Resume Relevance, Technical Credibility, and Title Relevance."
CAND_0002037,85,72.53,"Standout applicant driven by 5.5 years of experience as a ML Engineer, strong technical match (Fine-tuning LLMs, pgvector, CNN) in Indore, Madhya Pradesh. Ranked highly due to outstanding Title Relevance, Market Demand, and Technical Credibility."
CAND_0070485,86,72.43,"Standout applicant driven by 6.4 years of experience as a Search Engineer, strong technical match (Kubernetes, Haystack, PEFT) in Coimbatore, Tamil Nadu. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0075439,87,72.42,"Standout applicant driven by 4.3 years of experience as a Machine Learning Engineer, strong technical match (Learning to Rank, Feature Engineering, LoRA) in Vizag, Andhra Pradesh. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Technical Credibility."
CAND_0039383,88,72.41,"Standout applicant driven by 7.1 years of experience as a Applied ML Engineer, strong technical match (GANs, FAISS, ASR) in Gurgaon, Haryana. Ranked highly due to outstanding Resume Relevance, Title Relevance, and GitHub Activity."
CAND_0075249,89,72.15,"Standout applicant driven by 6.2 years of experience as a Applied ML Engineer, strong technical match (Sentence Transformers, Milvus, Machine Learning) in Ahmedabad, Gujarat. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Technical Credibility."
CAND_0049538,90,72.11,"Standout applicant driven by 5.8 years of experience as a Applied ML Engineer, strong technical match (LlamaIndex, Feature Engineering, MLflow) in Jaipur, Rajasthan. Ranked highly due to outstanding Title Relevance, Resume Relevance, and Technical Credibility."
CAND_0031593,91,72.1,"Standout applicant driven by 7.8 years of experience as a Search Engineer, strong technical match (Haystack, OpenCV, Hugging Face Transformers) in Kolkata, West Bengal. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0043228,92,72.02,"Standout applicant driven by 6.8 years of experience as a Applied ML Engineer, strong technical match (BigQuery, NLP, ASR) in Chennai, Tamil Nadu. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Technical Credibility."
CAND_0010149,93,72.0,"Standout applicant driven by 6.9 years of experience as a ML Engineer, strong technical match (Computer Vision, Diffusion Models, Milvus) in Bangalore, Karnataka. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0041669,94,71.86,"Standout applicant driven by 8.0 years of experience as a Recommendation Systems Engineer, strong technical match (FAISS, Milvus, PEFT) in Noida, Uttar Pradesh. Ranked highly due to outstanding Resume Relevance, Technical Credibility, and GitHub Activity."
CAND_0021410,95,71.68,"Standout applicant driven by 4.0 years of experience as a Junior ML Engineer, strong technical match (Statistical Modeling, dbt, Time Series) in Hyderabad, Telangana. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0000422,96,71.57,"Standout applicant driven by 6.3 years of experience as a AI Research Engineer, strong technical match (MLflow, Python, Photoshop) in Kolkata, West Bengal. Ranked highly due to outstanding Title Relevance, Market Demand, and Resume Relevance."
CAND_0007596,97,71.53,"Standout applicant driven by 4.4 years of experience as a Junior ML Engineer, strong technical match (Reinforcement Learning, YOLO, scikit-learn) in Delhi, Delhi. Ranked highly due to outstanding Title Relevance, Market Demand, and Recruitability."
CAND_0061175,98,71.5,"Standout applicant driven by 6.7 years of experience as a AI Research Engineer, strong technical match (Python, Milvus, Recommendation Systems) in Gurgaon, Haryana. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0075574,99,71.48,"Standout applicant driven by 5.7 years of experience as a Machine Learning Engineer, strong technical match (Hugging Face Transformers, pgvector, Weaviate) in Bangalore, Karnataka. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0092706,100,71.46,"Standout applicant driven by 5.8 years of experience as a AI Research Engineer, strong technical match (Weights & Biases, Speech Recognition, Data Science) in Delhi, Delhi. Ranked highly due to outstanding Title Relevance, Market Demand, and Technical Credibility."
